,Angry,Fear,Happy,Neutral,Sad,Surprise
0,0.076441221,0.126000881,0.034394547,0.501616955,0.23807992,0.023466466
1,0.068741404,0.228339463,0.008455143,0.074331999,0.591320038,0.028811902
2,0.021563536,0.633736789,0.014036739,0.057108551,0.252923876,0.020630427
3,0.066832751,0.155022964,0.017406076,0.230347201,0.521960378,0.008430648
4,0.027141688,0.303874046,0.119183272,0.256681681,0.249708548,0.043410789
5,0.01329694,0.202353582,0.006657265,0.495144188,0.279123843,0.003424186
6,0.040258359,0.61766088,0.023994375,0.120530114,0.176931918,0.020624314
7,0.056496799,0.186052606,0.025340039,0.220444247,0.498729378,0.012936989
8,0.045379978,0.339851856,0.091810577,0.213194847,0.224236339,0.085526384
9,0.040288806,0.208300859,0.040075254,0.294416159,0.404426724,0.012492253
10,0.042197712,0.058333758,0.031046195,0.613805711,0.248613343,0.006003307
11,0.076629542,0.020365197,0.027123692,0.718541145,0.153036371,0.004304014
12,0.013539263,0.064064875,0.036349408,0.57425648,0.308810949,0.002978942
13,0.016826151,0.13375701,0.067335114,0.470432431,0.295029432,0.016619815
14,0.091723651,0.036654137,0.031624235,0.589053392,0.243586391,0.007358187
15,0.011273826,0.018895671,0.084600605,0.596784592,0.287711948,0.000733329
16,0.006266504,0.247024581,0.048052497,0.273765296,0.422378182,0.002512892
17,0.004076602,0.491062462,0.015070719,0.049436033,0.436289579,0.004064638
18,0.004025251,0.004103286,0.021289349,0.701238751,0.269266963,7.64E-05
19,0.01503627,0.134595513,0.01670596,0.249734029,0.583085716,0.000842523
20,0.003130529,0.063442968,0.008752186,0.603065193,0.321374089,0.000235063
21,0.005055039,0.082286596,0.009421868,0.247645482,0.65425992,0.001331084
22,0.031645343,0.154891878,0.010434824,0.304654777,0.496527165,0.001845917
23,0.035230067,0.448784918,0.010328567,0.07618206,0.410012156,0.019462219
24,0.051737487,0.292516649,0.066854514,0.207717866,0.340165466,0.041008051
25,0.014700848,0.125956655,0.052745242,0.280234396,0.519770205,0.006592686
26,0.112635598,0.172305778,0.012267469,0.437594324,0.235093117,0.030103745
27,0.048242163,0.135346696,0.029652463,0.37853688,0.370265931,0.037955813
28,0.017253926,0.190384135,0.007369602,0.24326916,0.536146402,0.005576784
29,0.011172559,0.217343673,0.008145867,0.410280019,0.345581293,0.007476608
30,0.018706748,0.076070644,0.013964055,0.564616561,0.323002338,0.003639656
31,0.079930022,0.299666077,0.067275494,0.220677048,0.23487246,0.097578928
32,0.013382395,0.122551695,0.01169523,0.697136045,0.151405364,0.003829262
33,0.035537813,0.352751821,0.012081282,0.164459929,0.425435692,0.009733528
34,0.087471172,0.084340334,0.029587375,0.393885881,0.297679693,0.107035577
35,0.016919196,0.09042529,0.018511552,0.592288077,0.278046221,0.003809672
36,0.022237649,0.092788473,0.008830351,0.448983341,0.424392849,0.002767339
37,0.001744804,0.186197966,0.003256558,0.614981651,0.19130367,0.00251536
38,0.002617215,0.04305334,0.004735862,0.698424757,0.25038448,0.000784329
39,0.000922289,0.023139713,0.001183068,0.427513033,0.547189295,5.26E-05
40,0.124825194,0.309236556,0.028881889,0.190421,0.234479025,0.112156428
41,0.122166455,0.152633667,0.075735874,0.407058716,0.186600208,0.055805065
42,0.090429537,0.215745121,0.034903258,0.19568038,0.444953322,0.018288365
43,0.271846622,0.233698353,0.100122958,0.145504564,0.185381889,0.06344559
44,0.182350278,0.157416135,0.075172201,0.301707,0.213256925,0.070097461
45,0.195292294,0.19250679,0.068388879,0.255500525,0.232919097,0.055392388
46,0.153980568,0.098155662,0.183414444,0.386057138,0.141468957,0.036923159
47,0.0532341,0.160762265,0.082059935,0.304593503,0.308330208,0.09102007
48,0.044636831,0.05888072,0.052157525,0.721733272,0.118806854,0.003784807
49,0.028145408,0.037281223,0.050096814,0.191225544,0.692309856,0.000941165
50,0.013620469,0.048353061,0.515156925,0.213881001,0.096204244,0.112784296
51,0.046286665,0.075742848,0.364360034,0.138091803,0.36754626,0.007972404
52,0.181189224,0.254466027,0.235625952,0.071754634,0.247418985,0.00954516
53,0.019612234,0.171675488,0.25601846,0.138564408,0.40728575,0.006843674
54,0.066667274,0.166576356,0.204281032,0.20867981,0.307323456,0.046472032
55,0.052585427,0.150890112,0.206604987,0.241685718,0.25708583,0.091147877
56,0.031183075,0.043101404,0.022969713,0.628330588,0.270760119,0.00365515
57,0.089975551,0.220029071,0.074060924,0.245827541,0.35550344,0.014603424
58,0.055388398,0.046822861,0.25693354,0.280322671,0.351488113,0.009044531
59,0.171932191,0.057109244,0.067944087,0.246945426,0.447870493,0.008198514
60,0.082088232,0.102981798,0.053657968,0.178553089,0.573723912,0.008995051
61,0.144759625,0.051435851,0.655943274,0.042441547,0.102370694,0.003049
